title,year,cited_by,doi,venue,authors,method_relevance,areas,doi_url,oa_pdf_url,landing_url,openalex_url,is_oa
Forest Disturbance Detection via Self-Supervised and Transfer Learning With Sentinel-1&amp;2 Images,2024,11,10.1109/jstars.2024.3361183,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Rıdvan Salih Kuzu; Oleg Antropov; Matthieu Molinier,4.5,self_supervised_veg,https://doi.org/10.1109/jstars.2024.3361183,https://ieeexplore.ieee.org/ielx7/4609443/4609444/10418469.pdf,https://doi.org/10.1109/jstars.2024.3361183,https://openalex.org/W4391454427,True
Water and Energy Balance of a Riparian and Agricultural Ecosystem along the Lower Colorado River,2021,9,10.26076/0d04-ec1d,Digital Commons - USU (Utah State University),Saleh Taghvaeian,4.5,tamarisk_phenology; beetle_defoliation,https://doi.org/10.26076/0d04-ec1d,https://digitalcommons.usu.edu/etd/949,https://digitalcommons.usu.edu/etd/949,https://openalex.org/W1514242357,True
Glacial lake mapping using remote sensing Geo-Foundation Model,2025,9,10.1016/j.jag.2025.104371,International Journal of Applied Earth Observation and Geoinformation,Di Jiang; Shiyi Li; Irena Hajnsek,4.5,prithvi,https://doi.org/10.1016/j.jag.2025.104371,https://doi.org/10.1016/j.jag.2025.104371,https://doi.org/10.1016/j.jag.2025.104371,https://openalex.org/W4406610000,True
"Monitoring Tamarix Changes Using WorldView-2 Satellite Imagery in Grand Canyon National Park, Arizona",2021,8,10.3390/rs13050958,Remote Sensing,Nathaniel Bransky; Temuulen Tsagaan Sankey; Joel B. Sankey,4.5,tamarisk_phenology; beetle_defoliation,https://doi.org/10.3390/rs13050958,https://www.mdpi.com/2072-4292/13/5/958/pdf?version=1614866701,https://doi.org/10.3390/rs13050958,https://openalex.org/W3134088155,True
Historical and recent land use/land cover changes as a driving force of biological invasion: a Hungarian case study,2025,5,10.1007/s10530-025-03635-z,Biological Invasions,Márton Bence Balogh; Zalán Tobak; Dominik Kaim,4.5,russian_olive,https://doi.org/10.1007/s10530-025-03635-z,https://link.springer.com/content/pdf/10.1007/s10530-025-03635-z.pdf,https://doi.org/10.1007/s10530-025-03635-z,https://openalex.org/W4412868227,True
Feature Guided Masked Autoencoder for Self-supervised Learning in Remote Sensing,2023,5,10.48550/arxiv.2310.18653,arXiv (Cornell University),Yi Wang; Hugo Hernández Hernández; Conrad M Albrecht,4.5,satmae_scalemae,https://doi.org/10.48550/arxiv.2310.18653,https://arxiv.org/pdf/2310.18653,http://arxiv.org/abs/2310.18653,https://openalex.org/W4388092699,True
Black bears in Canyon de Chelly National Monument: Life in a changing environment,2011,2,,VTechWorks (Virginia Tech),Catherine A. Tredick; Michael R. Vaughan; Marcella J. Kelly,4.5,russian_olive,,,,,
Spatio-Temporal Transformers for Long-Term NDVI Forecasting,2026,0,,arXiv (Cornell University),Ido Faran; Nathan S. Netanyahu; Maxim Shoshany,4.5,presto_pixel_ts,,,,,
Forest Stand Species Mapping Using the Sentinel-2 Time Series,2019,289,10.3390/rs11101197,Remote Sensing,Ewa Grabska‐Szwagrzyk; Patrick Hostert; Dirk Pflugmacher,4.0,invasive_phenology_ts,https://doi.org/10.3390/rs11101197,https://www.mdpi.com/2072-4292/11/10/1197/pdf?version=1558346372,https://doi.org/10.3390/rs11101197,https://openalex.org/W2945897702,True
Remotely sensed rivers in the Anthropocene: state of the art and prospects,2019,229,10.1002/esp.4787,Earth Surface Processes and Landforms,Hervé Piégay; Fanny Arnaud; Barbara Belletti,4.0,corridor_vbet,https://doi.org/10.1002/esp.4787,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/esp.4787,https://doi.org/10.1002/esp.4787,https://openalex.org/W2994984469,True
Detection of Temporary Flooded Vegetation Using Sentinel-1 Time Series Data,2018,127,10.3390/rs10081286,Remote Sensing,Viktoriya Tsyganskaya; Sandro Martinis; Philip Marzahn,4.0,riparian_s2_ml,https://doi.org/10.3390/rs10081286,https://www.mdpi.com/2072-4292/10/8/1286/pdf?version=1534386011,https://doi.org/10.3390/rs10081286,https://openalex.org/W2886312349,True
Enhancement of Detecting Permanent Water and Temporary Water in Flood Disasters by Fusing Sentinel-1 and Sentinel-2 Imagery Using Deep Learning Algorithms: Demonstration of Sen1Floods11 Benchmark Datasets,2021,104,10.3390/rs13112220,Remote Sensing,Yanbing Bai; Wenqi Wu; Zhengxin Yang,4.0,fm_finetune_seg; self_supervised_veg,https://doi.org/10.3390/rs13112220,https://www.mdpi.com/2072-4292/13/11/2220/pdf?version=1623134625,https://doi.org/10.3390/rs13112220,https://openalex.org/W3166344614,True
Surface Water Mapping and Flood Monitoring in the Mekong Delta Using Sentinel-1 SAR Time Series and Otsu Threshold,2022,99,10.3390/rs14225721,Remote Sensing,Khuong H. Tran; Massimo Menenti; Jia Li,4.0,riparian_s2_ml,https://doi.org/10.3390/rs14225721,https://www.mdpi.com/2072-4292/14/22/5721/pdf?version=1668680397,https://doi.org/10.3390/rs14225721,https://openalex.org/W4309002236,True
Reviewing the Potential of Sentinel-2 in Assessing the Drought,2021,72,10.3390/rs13173355,Remote Sensing,Dani Varghese; Mirjana Radulović; S.M. Stojković,4.0,riparian_s2_ml,https://doi.org/10.3390/rs13173355,https://www.mdpi.com/2072-4292/13/17/3355/pdf?version=1629863733,https://doi.org/10.3390/rs13173355,https://openalex.org/W3194497111,True
SAM2-UNet: segment anything 2 makes strong encoder for natural and medical image segmentation,2026,57,10.1007/s44267-025-00106-w,Visual Intelligence,Xinyu Xiong; Zihuang Wu; Shuangyi Tan,4.0,unet_vs_pooling,https://doi.org/10.1007/s44267-025-00106-w,https://link.springer.com/content/pdf/10.1007/s44267-025-00106-w.pdf,https://doi.org/10.1007/s44267-025-00106-w,https://openalex.org/W7123884106,True
Vegetation responses to climatic and geologic controls on water availability in southeastern Arizona,2021,28,10.1088/1748-9326/abfe8c,Environmental Research Letters,Romy Sabathier; Michael Bliss Singer; John C. Stella,4.0,dryland_riparian_change,https://doi.org/10.1088/1748-9326/abfe8c,https://iopscience.iop.org/article/10.1088/1748-9326/abfe8c/pdf,https://doi.org/10.1088/1748-9326/abfe8c,https://openalex.org/W3159187367,True
Deep Learning Model Transfer in Forest Mapping Using Multi-Source Satellite SAR and Optical Images,2023,19,10.3390/rs15215152,Remote Sensing,Shaojia Ge; Oleg Antropov; Tuomas Häme,4.0,self_supervised_veg,https://doi.org/10.3390/rs15215152,https://www.mdpi.com/2072-4292/15/21/5152/pdf?version=1698419983,https://doi.org/10.3390/rs15215152,https://openalex.org/W4387970999,True
CROMA: Remote Sensing Representations with Contrastive Radar-Optical Masked Autoencoders,2023,14,10.48550/arxiv.2311.00566,arXiv (Cornell University),Anthony T. Fuller; Koreen Millard; James R. Green,4.0,satmae_scalemae,https://doi.org/10.48550/arxiv.2311.00566,https://arxiv.org/pdf/2311.00566,http://arxiv.org/abs/2311.00566,https://openalex.org/W4388276098,True
UAV Quantitative Remote Sensing of Riparian Zone Vegetation for River and Lake Health Assessment: A Review,2024,10,10.3390/rs16193560,Remote Sensing,Fei Song; Wenyong Zhang; Tenggang Yuan,4.0,beetle_defoliation,https://doi.org/10.3390/rs16193560,https://www.mdpi.com/2072-4292/16/19/3560/pdf?version=1728464918,https://doi.org/10.3390/rs16193560,https://openalex.org/W4402814818,True
Temporal ViT-U-Net Tandem Model: Enhancing Multi-Sensor Land Cover Classification Through Transformer-Based Utilization of Satellite Image Time Series,2024,8,10.5194/isprs-annals-x-3-2024-169-2024,"ISPRS annals of the photogrammetry, remote sensing and spatial information sciences",Mohammadreza Heidarianbaei; Hubert Kanyamahanga; Mareike Dorozynski,4.0,satmae_scalemae,https://doi.org/10.5194/isprs-annals-x-3-2024-169-2024,https://isprs-annals.copernicus.org/articles/X-3-2024/169/2024/isprs-annals-X-3-2024-169-2024.pdf,https://doi.org/10.5194/isprs-annals-x-3-2024-169-2024,https://openalex.org/W4404042125,True
USat: A Unified Self-Supervised Encoder for Multi-Sensor Satellite Imagery,2023,4,10.48550/arxiv.2312.02199,arXiv (Cornell University),Jeremy Irvin; Lucas Tao; Joanne Zhou,4.0,presto_pixel_ts; satmae_scalemae,https://doi.org/10.48550/arxiv.2312.02199,https://arxiv.org/pdf/2312.02199,http://arxiv.org/abs/2312.02199,https://openalex.org/W4389469874,True
Sentinel-2 Land Cover Classification: State-of-the-Art Methods and the Reality of Operational Deployment—A Systematic Review,2025,2,10.3390/su172210324,Sustainability,Andreea Florina Jocea; Liviu Porumb; Lucian Necula,4.0,prithvi,https://doi.org/10.3390/su172210324,https://www.mdpi.com/2071-1050/17/22/10324/pdf?version=1763477898,https://doi.org/10.3390/su172210324,https://openalex.org/W4416321837,True
Enhancing semantic segmentation of Ecuadorian shrimp ponds through fine-tuned vision transformers and U-Net architectures utilizing open-source remote sensing data,2025,1,10.1080/17538947.2025.2538214,International Journal of Digital Earth,Daniel Jacome; Jianghao Wang; Yong Ge,4.0,prithvi,https://doi.org/10.1080/17538947.2025.2538214,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2025.2538214?needAccess=true,https://doi.org/10.1080/17538947.2025.2538214,https://openalex.org/W4412679127,True
Evaluation of Sentinel-2 time-series for mapping floodplain grassland plant communities,2019,182,10.1016/j.rse.2019.01.018,Remote Sensing of Environment,Sébastien Rapinel; Cendrine Mony; Lucie Lecoq,3.5,invasive_phenology_ts,https://doi.org/10.1016/j.rse.2019.01.018,https://doi.org/10.1016/j.rse.2019.01.018,https://doi.org/10.1016/j.rse.2019.01.018,https://openalex.org/W2913586827,True
A remote sensing-based model of tidal marsh aboveground carbon stocks for the conterminous United States,2018,135,10.1016/j.isprsjprs.2018.03.019,ISPRS Journal of Photogrammetry and Remote Sensing,Kristin B. Byrd; L. Ballanti; Nathan Thomas,3.5,fm_riparian,https://doi.org/10.1016/j.isprsjprs.2018.03.019,https://doi.org/10.1016/j.isprsjprs.2018.03.019,https://doi.org/10.1016/j.isprsjprs.2018.03.019,https://openalex.org/W2794997102,True
Mapping Invasive Tamarisk (Tamarix): A Comparison of Single-Scene and Time-Series Analyses of Remotely Sensed Data,2009,123,10.3390/rs1030519,Remote Sensing,Paul Evangelista; Thomas J. Stohlgren; Jeffrey T. Morisette,3.5,tamarisk_phenology; invasive_phenology_ts,https://doi.org/10.3390/rs1030519,https://www.mdpi.com/2072-4292/1/3/519/pdf?version=1403129136,https://doi.org/10.3390/rs1030519,https://openalex.org/W2162081314,True
OmbriaNet—Supervised Flood Mapping via Convolutional Neural Networks Using Multitemporal Sentinel-1 and Sentinel-2 Data Fusion,2022,76,10.1109/jstars.2022.3155559,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Georgios I. Drakonakis; Grigorios Tsagkatakis; Konstantina Fotiadou,3.5,self_supervised_veg,https://doi.org/10.1109/jstars.2022.3155559,https://ieeexplore.ieee.org/ielx7/4609443/9656571/09723593.pdf,https://doi.org/10.1109/jstars.2022.3155559,https://openalex.org/W4214882912,True
"Assessing the seasonal dynamics of inundation, turbidity, and aquatic vegetation in the Australian wet–dry tropics using optical remote sensing",2012,72,10.1002/eco.1270,Ecohydrology,Douglas P. Ward; Stephen K. Hamilton; Timothy D. Jardine,3.5,dryland_riparian_change,https://doi.org/10.1002/eco.1270,http://hdl.handle.net/10072/50808,http://hdl.handle.net/10072/50808,https://openalex.org/W1954607604,True
Vegetation enhances curvature-driven dynamics in meandering rivers,2024,41,10.1038/s41467-024-46292-x,Nature Communications,Alvise Finotello; Alessandro Ielpi; M. G. A. Lapôtre,3.5,dryland_riparian_change,https://doi.org/10.1038/s41467-024-46292-x,https://www.nature.com/articles/s41467-024-46292-x.pdf,https://doi.org/10.1038/s41467-024-46292-x,https://openalex.org/W4392379819,True
A Machine Learning Approach for Mapping Forest Vegetation in Riparian Zones in an Atlantic Biome Environment Using Sentinel-2 Imagery,2020,32,10.3390/rs12244086,Remote Sensing,Danielle Elis Garcia Furuya; João Alex Floriano Aguiar; Nayara Vasconcelos Estrabis,3.5,riparian_s2_ml,https://doi.org/10.3390/rs12244086,https://www.mdpi.com/2072-4292/12/24/4086/pdf?version=1608083509,https://doi.org/10.3390/rs12244086,https://openalex.org/W3111042511,True
Defoliation effects of <i>Diorhabda carinulata</i> on tamarisk evapotranspiration and groundwater levels,2015,16,10.1002/eco.1604,Ecohydrology,Sachiko Sueki; Kumud Acharya; Justin Huntington,3.5,beetle_defoliation,https://doi.org/10.1002/eco.1604,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eco.1604,https://doi.org/10.1002/eco.1604,https://openalex.org/W2164526838,True
Remote sensing vegetation index methods to evaluate changes in greenness and evapotranspiration in riparian vegetation in response to the Minute 319 environmental pulse flow to Mexico,2018,15,10.5194/piahs-380-45-2018,Proceedings of the International Association of Hydrological Sciences,Pamela L. Nagler; Christopher J. Jarchow; Edward P. Glenn,3.5,dryland_riparian_change,https://doi.org/10.5194/piahs-380-45-2018,https://piahs.copernicus.org/articles/380/45/2018/piahs-380-45-2018.pdf,https://doi.org/10.5194/piahs-380-45-2018,https://openalex.org/W2905060105,True
"A satellite model of Southwestern Willow Flycatcher (&lt;em&gt;Empidonax traillii extimus&lt;/em&gt;) breeding habitat and a simulation of potential effects of tamarisk leaf beetles (&lt;em&gt;Diorhabda&lt;/em&gt; spp.), southwestern United States",2016,13,10.3133/ofr20161120,Antarctica A Keystone in a Changing World,James R. Hatten,3.5,beetle_defoliation,https://doi.org/10.3133/ofr20161120,https://pubs.usgs.gov/of/2016/1120/ofr20161120.pdf,https://doi.org/10.3133/ofr20161120,https://openalex.org/W2520627112,True
"Phenology and Spectral Unmixing-Based Invasive Kudzu Mapping: A Case Study in Knox County, Tennessee",2021,9,10.3390/rs13224551,Remote Sensing,Shen Ming; Maofeng Tang; Yingkui Li,3.5,tamarisk_phenology,https://doi.org/10.3390/rs13224551,https://www.mdpi.com/2072-4292/13/22/4551/pdf?version=1636738278,https://doi.org/10.3390/rs13224551,https://openalex.org/W3214646684,True
Multilabel-Guided Soft Contrastive Learning for Efficient Earth Observation Pretraining,2024,7,10.1109/tgrs.2024.3466896,IEEE Transactions on Geoscience and Remote Sensing,Yi Wang; Conrad M Albrecht; Xiao Xiang Zhu,3.5,presto_pixel_ts,https://doi.org/10.1109/tgrs.2024.3466896,https://doi.org/10.1109/tgrs.2024.3466896,https://doi.org/10.1109/tgrs.2024.3466896,https://openalex.org/W4403635970,True
Multi-Label Guided Soft Contrastive Learning for Efficient Earth Observation Pretraining,2024,1,10.48550/arxiv.2405.20462,elib (German Aerospace Center),Yi Wang; Conrad M Albrecht; Xiao Xiang Zhu,3.5,presto_pixel_ts,https://doi.org/10.48550/arxiv.2405.20462,https://arxiv.org/pdf/2405.20462,http://arxiv.org/abs/2405.20462,https://openalex.org/W4399317102,True
When are Foundation Models Effective? Understanding the Suitability for Pixel-Level Classification Using Multispectral Imagery,2024,1,10.48550/arxiv.2404.11797,arXiv (Cornell University),Yiqun Xie; Zhihao Wang; Weiye Chen,3.5,prithvi,https://doi.org/10.48550/arxiv.2404.11797,https://arxiv.org/pdf/2404.11797,http://arxiv.org/abs/2404.11797,https://openalex.org/W4394973188,True
